Timestamp,Wind speed [m/s],Wind direction [deg],Ambient temperature [C],output power [kW],Status,State,Ice detected,IPS
1.1.2003 0:00,9.7,42.1,-15.7,1387,OK,OK,NO,OFF
1.1.2003 0:10,9.3,44.9,-15.6,990,OK,OK,NO,OFF
1.1.2003 0:20,9.8,44.9,-15.3,1207,OK,OK,NO,OFF
1.1.2003 0:30,9.8,45.8,-15.2,1097,OK,OK,NO,OFF
1.1.2003 0:40,10.1,45.5,-14.9,1217,OK,OK,NO,OFF
1.1.2003 0:50,9.9,43.4,-14.8,1153,OK,OK,NO,OFF
1.1.2003 1:00,9.6,43.5,-14.6,989,OK,OK,NO,OFF
1.1.2003 1:10,8.3,45.5,-14.5,722,OK,OK,NO,OFF
1.1.2003 1:20,9.7,47.9,-14.2,1115,OK,OK,NO,OFF
1.1.2003 1:30,9.7,48.9,-14,1182,OK,OK,NO,OFF
1.1.2003 1:40,10.1,48.9,-13.8,1346,OK,OK,NO,OFF
1.1.2003 1:50,10.2,50.8,-13.6,1375,OK,OK,NO,OFF
1.1.2003 2:00,10.5,53.1,-13.5,1389,OK,OK,NO,OFF
1.1.2003 2:10,10.3,52.7,-13.3,1300,OK,OK,NO,OFF
1.1.2003 2:20,10.2,54.1,-13.2,1324,OK,OK,NO,OFF
1.1.2003 2:30,10.1,54.5,-13.1,1411,OK,OK,NO,OFF
1.1.2003 2:40,9.8,53.8,-12.9,1233,OK,OK,NO,OFF
1.1.2003 2:50,10.4,54.4,-12.8,1541,OK,OK,NO,OFF
1.1.2003 3:00,10.8,54.7,-12.6,1729,OK,OK,NO,OFF
1.1.2003 3:10,10.3,53.2,-12.6,1296,OK,OK,NO,OFF
1.1.2003 3:20,10.6,53,-12.5,1331,OK,OK,NO,OFF
1.1.2003 3:30,10.5,53.4,-12.4,1335,OK,OK,NO,OFF
1.1.2003 3:40,10.8,53.5,-12.3,1348,OK,OK,NO,OFF
1.1.2003 3:50,11.1,54.7,-12.2,1290,OK,OK,NO,OFF
1.1.2003 4:00,10.9,54.7,-12.1,1162,OK,OK,NO,OFF
1.1.2003 4:10,10.7,55.4,-12,963,OK,OK,NO,OFF
1.1.2003 4:20,10.5,56.8,-12,1150,OK,OK,NO,OFF
1.1.2003 4:30,10.3,55.6,-11.9,1003,OK,OK,NO,OFF
1.1.2003 4:40,10.3,57.1,-11.9,938,OK,OK,YES,OFF
1.1.2003 4:50,10.1,58.7,-11.8,866,OK,OK,YES,OFF
1.1.2003 5:00,10.3,61.1,-11.7,945,OK,OK,YES,OFF
1.1.2003 5:10,10.2,61.1,-11.7,823,OK,OK,YES,OFF
1.1.2003 5:20,10.2,64.9,-11.6,721,OK,OK,YES,OFF
1.1.2003 5:30,10.5,67.6,-11.5,809,OK,OK,YES,OFF
1.1.2003 5:40,9.9,69,-11.5,561,OK,OK,YES,OFF
1.1.2003 5:50,9.6,75.2,-11.4,647,OK,OK,YES,OFF
1.1.2003 6:00,9.6,75,-11.4,543,OK,OK,YES,OFF
1.1.2003 6:10,8.3,69.3,-11.4,407,OK,OK,YES,OFF
1.1.2003 6:20,8.7,73.5,-11.4,413,OK,OK,YES,OFF
1.1.2003 6:30,8.5,72.4,-11.5,392,OK,OK,YES,OFF
1.1.2003 6:40,8.2,71.2,-11.5,260,OK,OK,YES,OFF
1.1.2003 6:50,7.5,75.2,-11.6,142,OK,OK,YES,OFF
1.1.2003 7:00,7.4,72.3,-11.6,188,OK,OK,YES,OFF
1.1.2003 7:10,6.8,69.3,-11.7,69,OK,OK,YES,OFF
1.1.2003 7:20,6.3,66.7,-11.7,66,OK,OK,YES,OFF
1.1.2003 7:30,6,64.5,-11.8,40,OK,OK,YES,OFF
1.1.2003 7:40,6.5,65,-11.9,15,OK,OK,YES,OFF
1.1.2003 7:50,6.8,70.2,-12,3,OK,OK,YES,OFF
1.1.2003 8:00,6.3,67.5,-12.1,0,OK,OK,YES,OFF
1.1.2003 8:10,6.1,60.6,-12.1,0,OK,OK,YES,OFF
1.1.2003 8:20,7.1,50.3,-11.7,0,OK,OK,YES,OFF
1.1.2003 8:30,7.8,53.4,-11.7,0,OK,OK,YES,OFF
1.1.2003 8:40,8.1,52.7,-11.7,0,OK,OK,YES,OFF
1.1.2003 8:50,8.2,53.6,-11.7,0,OK,OK,YES,OFF
1.1.2003 9:00,8.6,53.8,-11.8,0,OK,OK,YES,OFF
1.1.2003 9:10,9,55.1,-11.7,0,OK,OK,YES,OFF
1.1.2003 9:20,9.4,56.1,-11.6,0,OK,OK,YES,OFF
1.1.2003 9:30,9.5,57.6,-11.6,0,OK,OK,YES,OFF
1.1.2003 9:40,9.7,57,-11.6,0,OK,OK,YES,OFF
1.1.2003 9:50,8.6,54.8,-11.6,0,OK,OK,YES,OFF
1.1.2003 10:00,8.9,53.9,-11.7,0,OK,OK,YES,OFF
